family_code,workbook_role,workbook_name,worksheet_name,header_row,first_data_row,last_data_row,description_column,code_column,hex_column,confidence,reason
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Data Sheet,14,15,66,C,,,medium,Description-like header 'series'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Data Sheet,15,16,66,C,,,medium,Description-like header 'size'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Data Sheet,16,17,66,C,,,medium,Description-like header 'pump material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Data Sheet,17,18,66,C,,,medium,Description-like header 'casing material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Data Sheet,29,31,70,F,,,medium,Description-like header 'motor options'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Data Sheet,33,34,66,C,,,medium,Description-like header 'impeller material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Data Sheet,36,58,58,K,,,medium,"Description-like header 'select frame size for motor, coupling, and/or baseplate here'."
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Data Sheet,37,38,66,C,,,medium,Description-like header 'shaft material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Data Sheet,37,52,67,L,,,medium,"Description-like header 'if motor is not supplied by dean, filling in any information you have about it will be beneficial but is not necessary. if pump has coupling and/or baseplate, you will need to select frame size.'."
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Data Sheet,38,39,66,C,,,medium,Description-like header 'lubrication options'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Data Sheet,39,40,70,F,,,medium,Description-like header 'c face adapter option'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Data Sheet,40,41,66,C,,,medium,Description-like header 'oiler options'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Formal Quote,11,12,98,B,,,medium,Description-like header 'fluid description:'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Formal Quote,18,20,68,C,,,medium,Description-like header 'dean® component description'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Formal Quote,20,21,98,B,,,medium,Description-like header 'pump series:'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Formal Quote,21,22,98,B,,,medium,Description-like header 'size:'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Formal Quote,26,28,28,D,,,medium,Description-like header 'sleeve material:'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Formal Quote,27,28,98,B,,,medium,Description-like header 'seal options:'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Formal Quote,30,31,98,B,,,medium,Description-like header 'baseplate options:'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Formal Quote,38,39,98,B,,,medium,Description-like header 'included option 1:'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Formal Quote,39,40,98,B,,,medium,Description-like header 'included option 2:'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Formal Quote,40,41,98,B,,,medium,Description-like header 'included option 3:'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Smart Number,7,8,43,B,,,medium,Description-like header 'description:'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Smart Number,11,12,25,D,,,medium,Description-like header 'wet end options'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Smart Number,11,12,16,I,,,medium,Description-like header 'impeller options'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Smart Number,11,12,23,K,,,medium,Description-like header 'power frame options'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Smart Number,11,12,12,O,,,medium,Description-like header 'seal options'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Smart Number,11,12,13,W,,,medium,Description-like header 'frame size'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Smart Number,11,12,21,X,,,medium,Description-like header 'baseplate options'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Smart Number,11,12,17,AB,,,medium,Description-like header 'motor options'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Smart Number,11,12,17,AD,,,medium,Description-like header 'additional options'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Smart Number,11,12,17,AH,,,medium,Description-like header 'testing options'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Smart Number,11,12,16,AJ,,,medium,Description-like header 'documentation options'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Smart Number,12,13,13,W,S,S,high,"Description-like header '=if((y13<>""none"")+(m23<>""none"")+(w13<>0), iferror(_xlfn.base(match(w13,table2486[motor frame size],0),36,2),""err""), ""00"")'. Code-like header at S12. Hex/code-like header at S12."
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Smart Number,13,14,25,D,,,medium,Description-like header 'pump material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Smart Number,13,14,22,Z,,,medium,Description-like header 'motor options'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Smart Number,13,14,17,AB,,,medium,Description-like header 'custom option 1'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Smart Number,14,15,25,D,,,medium,Description-like header 'casing material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Smart Number,14,15,16,I,,,medium,Description-like header 'impeller material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Smart Number,14,15,23,K,,,medium,Description-like header 'shaft material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Smart Number,14,15,17,AB,,,medium,Description-like header 'custom option 2'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Smart Number,15,16,16,I,,,medium,Description-like header 'imp. wear rings material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Smart Number,15,16,23,K,,,medium,Description-like header 'lubrication options'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Smart Number,15,16,17,AB,,,medium,Description-like header 'custom option 3'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Smart Number,16,17,23,K,,,medium,Description-like header 'oiler options'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Smart Number,21,22,22,Z,,,medium,Description-like header 'c-face adapter option'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Wet End Numbering,2,3,502,C,,,medium,Description-like header 'pump material class'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Wet End Numbering,2,3,502,D,,,medium,Description-like header 'casing material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Wet End Numbering,2,3,502,G,,,medium,Description-like header 'drain options'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Wet End Numbering,2,3,502,K,,,medium,Description-like header 'wear ring material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Wet End Numbering,2,3,54,AF,,,medium,Description-like header 'impeller material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Wet End Numbering,15,16,515,C,P,P,high,Description-like header 'pump material class'. Code-like header at P15. Hex/code-like header at P15.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Wet End Numbering,15,16,515,D,P,P,high,Description-like header 'casing material'. Code-like header at P15. Hex/code-like header at P15.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Wet End Numbering,15,16,515,G,P,P,high,Description-like header 'drain options'. Code-like header at P15. Hex/code-like header at P15.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Wet End Numbering,15,16,54,AF,P,P,high,Description-like header 'impeller material'. Code-like header at P15. Hex/code-like header at P15.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Wet End Numbering,15,16,54,AH,P,P,high,Description-like header 'imp. wear ring material'. Code-like header at P15. Hex/code-like header at P15.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Power End Numbering,2,3,475,D,,,medium,Description-like header 'shaft material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Power End Numbering,2,3,475,E,,,medium,Description-like header 'lubrication options'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Power End Numbering,2,3,475,F,,,medium,Description-like header 'oiler options'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Power End Numbering,15,16,475,D,O,O,high,Description-like header 'shaft material'. Code-like header at O15. Hex/code-like header at O15.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Power End Numbering,15,16,475,E,O,O,high,Description-like header 'lubrication options'. Code-like header at O15. Hex/code-like header at O15.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Power End Numbering,15,16,475,F,O,O,high,Description-like header 'oiler options'. Code-like header at O15. Hex/code-like header at O15.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Constraints,2,3,4,C,,,medium,Description-like header 'size'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Constraints,2,3,4,AX,,,medium,Description-like header 'pump (backhead) material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Constraints,2,3,39,BH,,,medium,Description-like header 'casing material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Constraints,3,4,40,B,,,medium,Description-like header 'series'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Config Info,4,5,40,B,,,medium,Description-like header 'pump series'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Config Info,4,5,50,D,,,medium,Description-like header 'size'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Config Info,4,5,15,F,,,medium,Description-like header 'pump material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Config Info,4,5,14,J,,,medium,Description-like header 'shaft material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Config Info,4,5,13,L,,,medium,Description-like header 'casing material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Config Info,4,5,12,V,,,medium,Description-like header 'shaft sleeve material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Config Info,4,5,12,AL,,,medium,Description-like header 'impeller material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Config Info,4,5,9,AN,,,medium,Description-like header 'cradle material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Config Info,4,5,10,AP,,,medium,Description-like header 'impeller wear ring material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Config Info,4,5,7,AZ,,,medium,Description-like header 'baseplate material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Config Info,4,5,9,BV,,,medium,Description-like header 'paint options'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Config Info,4,5,8,CB,,,medium,Description-like header 'lubrication options'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Config Info,4,5,10,CD,,,medium,Description-like header 'oiler options'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Config Info,4,5,8,CT,,,medium,Description-like header 'seal options'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Config Info,4,5,9,DD,,,medium,Description-like header 'seal hardware material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Config Info,4,5,8,DF,,,medium,Description-like header 'inboard rotating face material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Config Info,4,5,9,DH,,,medium,Description-like header 'inboard stationary face material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Config Info,4,5,8,DL,,,medium,Description-like header 'outboard rotating face material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Config Info,4,5,9,DN,,,medium,Description-like header 'outboard stationary face material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Logic,1,2,8,B,,,medium,Description-like header 'series'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Logic,1,2,6,C,,,medium,Description-like header 'size'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Logic,1,2,45,D,,,medium,Description-like header 'pump material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Logic,1,2,6,F,,,medium,Description-like header 'shaft material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Logic,1,2,19,G,,,medium,Description-like header 'casing material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Logic,1,2,20,R,,,medium,Description-like header 'impeller material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Logic,1,2,4,U,,,medium,Description-like header 'seal option'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Logic,1,2,3,X,,,medium,Description-like header 'inboard rotating face material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Logic,1,2,5,Y,,,medium,Description-like header 'inboard stationary face material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Logic,1,2,2,AA,,,medium,Description-like header 'outboard rotating face material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Logic,1,2,6,AN,,,medium,Description-like header 'sleeve material'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Logic,1,2,5,AR,,,medium,Description-like header 'frame size'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Logic,1,2,4,BB,,,medium,Description-like header 'seal options (raw)'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Logic,1,2,2,BC,,,medium,Description-like header 'seal options (filtered)'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Logic,1,2,19,BE,,,medium,Description-like header 'trim options'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Logic,35,36,45,D,E,E,high,Description-like header 'material'. Code-like header at E35. Hex/code-like header at E35.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Logic,35,36,45,E,E,E,high,Description-like header 'material code'. Code-like header at E35. Hex/code-like header at E35.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Motor Numbering,4,5,33,AS,,,medium,Description-like header 'nameplate change (per item description)'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Motor Numbering,20,21,520,E,N,N,high,Description-like header 'frame size'. Code-like header at N20. Hex/code-like header at N20.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Motor Numbering,20,21,21,U,N,N,high,Description-like header 'filtered table (for driving datasheet options)'. Code-like header at N20. Hex/code-like header at N20.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Motor Numbering,20,21,21,AD,N,N,high,Description-like header 'data sheet options'. Code-like header at N20. Hex/code-like header at N20.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Motor Numbering,24,25,33,AS,,,medium,Description-like header 'oversized main conduit box - mount and extend leads'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,User Selections,5,6,100,C,,,medium,Description-like header 'selection'.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,User Selections,6,7,7,E,BC,BC,high,Description-like header 'series'. Code-like header at BC6. Hex/code-like header at BC6.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,User Selections,6,7,7,F,BC,BC,high,Description-like header 'size'. Code-like header at BC6. Hex/code-like header at BC6.
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,User Selections,6,7,7,G,BC,BC,high,Description-like header 'pump material'. Code-like header at BC6. Hex/code-like header at BC6.
